iter	Passed	Remaining
0	2	663
1	3	581
2	6	598
3	7	562
4	9	542
5	10	527
6	12	521
7	14	512
8	15	506
9	17	504
10	19	502
11	20	496
12	22	490
13	23	484
14	25	478
15	26	476
16	28	476
17	30	473
18	31	470
19	33	470
20	35	470
21	36	467
22	38	464
23	40	461
24	41	459
25	43	457
26	44	454
27	46	451
28	47	448
29	49	445
30	51	444
31	52	443
32	54	442
33	56	440
34	57	438
35	59	436
36	61	434
37	62	432
38	64	429
39	65	428
40	67	427
41	69	426
42	70	424
43	72	421
44	74	419
45	75	418
46	77	415
47	78	414
48	80	412
49	82	410
50	83	408
51	85	407
52	87	405
53	88	403
54	90	402
55	92	401
56	93	400
57	95	398
58	96	396
59	98	394
60	100	393
61	102	391
62	103	390
63	105	388
64	106	386
65	108	384
66	110	383
67	111	381
68	113	379
69	114	377
70	116	376
71	118	374
72	119	373
73	121	370
74	123	369
75	125	368
76	126	367
77	128	365
78	130	363
79	131	362
80	134	363
81	136	363
82	138	363
83	141	362
84	142	361
85	144	360
86	146	358
87	148	357
88	150	356
89	151	354
90	153	352
91	155	352
92	158	352
93	159	350
94	161	348
95	163	346
96	164	344
97	166	343
98	168	341
99	169	339
100	171	337
101	173	335
102	175	335
103	176	333
104	178	331
105	180	329
106	181	327
107	183	325
108	184	323
109	186	321
110	187	319
111	189	317
112	191	316
113	192	314
114	194	312
115	195	310
116	197	309
117	199	307
118	201	305
119	202	304
120	204	302
121	206	301
122	208	300
123	210	298
124	211	296
125	213	294
126	215	292
127	216	291
128	218	289
129	219	287
130	221	285
131	222	283
132	224	282
133	226	280
134	227	278
135	229	276
136	230	274
137	232	272
138	233	270
139	235	268
140	236	267
141	238	265
142	240	263
143	241	261
144	243	260
145	244	258
146	246	256
147	248	254
148	249	252
149	251	251
150	252	249
151	254	247
152	256	246
153	258	244
154	259	243
155	261	241
156	262	239
157	264	237
158	266	236
159	268	234
160	269	232
161	271	231
162	272	229
163	274	227
164	276	225
165	277	224
166	279	222
167	281	220
168	283	219
169	284	217
170	286	215
171	287	214
172	289	212
173	291	211
174	293	209
175	294	207
176	296	206
177	298	204
178	299	202
179	301	201
180	303	199
181	304	197
182	306	195
183	308	194
184	309	192
185	311	190
186	313	189
187	314	187
188	316	185
189	318	184
190	319	182
191	321	180
192	323	179
193	324	177
194	326	175
195	328	174
196	329	172
197	331	170
198	333	169
199	335	167
200	336	165
201	338	164
202	340	162
203	342	160
204	343	159
205	345	157
206	347	156
207	349	154
208	351	152
209	353	151
210	355	149
211	357	148
212	358	146
213	361	145
214	364	144
215	366	142
216	368	141
217	370	139
218	372	137
219	374	136
220	376	134
221	377	132
222	380	131
223	381	129
224	383	127
225	385	126
226	387	124
227	389	122
228	390	121
229	392	119
230	393	117
231	395	115
232	397	114
233	398	112
234	400	110
235	402	109
236	403	107
237	405	105
238	406	103
239	408	102
240	409	100
241	411	98
242	413	96
243	414	95
244	416	93
245	418	91
246	420	90
247	421	88
248	423	86
249	424	84
250	426	83
251	427	81
252	429	79
253	431	78
254	432	76
255	434	74
256	435	72
257	437	71
258	438	69
259	440	67
260	441	66
261	443	64
262	445	62
263	447	60
264	448	59
265	450	57
266	451	55
267	453	54
268	454	52
269	456	50
270	458	49
271	460	47
272	461	45
273	463	43
274	465	42
275	467	40
276	469	39
277	471	37
278	473	35
279	474	33
280	476	32
281	478	30
282	479	28
283	481	27
284	482	25
285	484	23
286	485	22
287	487	20
288	489	18
289	490	16
290	492	15
291	494	13
292	495	11
293	497	10
294	499	8
295	500	6
296	502	5
297	504	3
298	505	1
299	507	0
